
These predictions were generated by FAST (v7.01.00a-bjj, 16-Feb-2012) on 15-Jul-2019 at 11:48:22.
The aerodynamic calculations were made by AeroDyn (v13.00.01a-bjj, 16-Feb-2012).

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

Time	BldPitch1	RootMxb1	RootMyb1
(s)	(deg)	(kN·m)	(kN·m)
   0.050	 0.000E+00	 6.711E+01	 5.119E+02
   0.100	 0.000E+00	 1.635E+02	 8.503E+02
   0.150	 0.000E+00	 2.949E+02	 1.505E+03
   0.200	 0.000E+00	 4.370E+02	 2.255E+03
   0.250	 0.000E+00	 6.030E+02	 3.064E+03
   0.300	 0.000E+00	 7.848E+02	 3.869E+03
   0.350	 0.000E+00	 9.728E+02	 4.633E+03
   0.400	 0.000E+00	 1.179E+03	 5.352E+03
   0.450	 0.000E+00	 1.411E+03	 6.030E+03
   0.500	 0.000E+00	 1.650E+03	 6.637E+03
   0.550	 0.000E+00	 1.890E+03	 7.197E+03
   0.600	 0.000E+00	 2.136E+03	 7.697E+03
   0.650	 0.000E+00	 2.361E+03	 8.122E+03
   0.700	 0.000E+00	 2.559E+03	 8.449E+03
   0.750	 0.000E+00	 2.724E+03	 8.634E+03
   0.800	 0.000E+00	 2.835E+03	 8.733E+03
   0.850	 0.000E+00	 2.898E+03	 8.743E+03
   0.900	 0.000E+00	 2.895E+03	 8.605E+03
   0.950	 0.000E+00	 2.837E+03	 8.487E+03
   1.000	 0.000E+00	 2.770E+03	 8.342E+03
   1.050	 0.000E+00	 2.722E+03	 8.140E+03
   1.100	 0.000E+00	 2.700E+03	 7.877E+03
   1.150	 0.000E+00	 2.743E+03	 7.579E+03
   1.200	 0.000E+00	 2.855E+03	 7.249E+03
   1.250	 0.000E+00	 3.010E+03	 6.872E+03
   1.300	 0.000E+00	 3.211E+03	 6.500E+03
   1.350	 0.000E+00	 3.452E+03	 6.215E+03
   1.400	 0.000E+00	 3.679E+03	 6.032E+03
   1.450	 0.000E+00	 3.864E+03	 5.908E+03
   1.500	 0.000E+00	 4.021E+03	 5.899E+03
   1.550	 0.000E+00	 4.115E+03	 5.858E+03
   1.600	 0.000E+00	 4.181E+03	 5.940E+03
   1.650	 0.000E+00	 4.201E+03	 5.967E+03
   1.700	 0.000E+00	 4.185E+03	 6.017E+03
   1.750	 0.000E+00	 4.124E+03	 6.050E+03
   1.800	 0.000E+00	 4.044E+03	 6.111E+03
   1.850	 0.000E+00	 3.936E+03	 6.227E+03
   1.900	 0.000E+00	 3.825E+03	 6.430E+03
   1.950	 0.000E+00	 3.705E+03	 6.648E+03
   2.000	 0.000E+00	 3.596E+03	 6.953E+03
   2.050	 0.000E+00	 3.523E+03	 7.285E+03
   2.100	 0.000E+00	 3.473E+03	 7.510E+03
   2.150	 0.000E+00	 3.475E+03	 7.643E+03
   2.200	 0.000E+00	 3.525E+03	 7.755E+03
   2.250	 0.000E+00	 3.597E+03	 7.705E+03
   2.300	 0.000E+00	 3.732E+03	 7.624E+03
   2.350	 0.000E+00	 3.848E+03	 7.461E+03
   2.400	 0.000E+00	 3.968E+03	 7.393E+03
   2.450	 0.000E+00	 4.055E+03	 7.439E+03
   2.500	 0.000E+00	 4.084E+03	 7.578E+03
   2.550	 0.000E+00	 4.033E+03	 7.749E+03
   2.600	 0.000E+00	 3.929E+03	 7.869E+03
   2.650	 0.000E+00	 3.767E+03	 7.917E+03
   2.700	 0.000E+00	 3.540E+03	 7.859E+03
   2.750	 0.000E+00	 3.285E+03	 7.690E+03
   2.800	 0.000E+00	 3.017E+03	 7.443E+03
   2.850	 0.000E+00	 2.739E+03	 7.190E+03
   2.900	 0.000E+00	 2.488E+03	 6.950E+03
   2.950	 0.000E+00	 2.265E+03	 6.819E+03
   3.000	 0.000E+00	 2.062E+03	 6.783E+03
   3.050	 0.000E+00	 1.900E+03	 6.863E+03
   3.100	 0.000E+00	 1.763E+03	 6.924E+03
   3.150	 0.000E+00	 1.644E+03	 6.894E+03
   3.200	 0.000E+00	 1.551E+03	 6.778E+03
   3.250	 0.000E+00	 1.471E+03	 6.634E+03
   3.300	 0.000E+00	 1.383E+03	 6.443E+03
   3.350	 0.000E+00	 1.301E+03	 6.331E+03
   3.400	 0.000E+00	 1.210E+03	 6.294E+03
   3.450	 0.000E+00	 1.116E+03	 6.312E+03
   3.500	 0.000E+00	 9.759E+02	 6.337E+03
   3.550	 0.000E+00	 8.083E+02	 6.351E+03
   3.600	 0.000E+00	 6.202E+02	 6.351E+03
   3.650	 0.000E+00	 4.039E+02	 6.344E+03
   3.700	 0.000E+00	 1.585E+02	 6.321E+03
   3.750	 0.000E+00	-9.792E+01	 6.303E+03
   3.800	 0.000E+00	-3.738E+02	 6.256E+03
   3.850	 0.000E+00	-6.406E+02	 6.241E+03
   3.900	 0.000E+00	-8.710E+02	 6.291E+03
   3.950	 0.000E+00	-1.067E+03	 6.351E+03
   4.000	 0.000E+00	-1.226E+03	 6.404E+03
   4.050	 0.000E+00	-1.326E+03	 6.433E+03
   4.100	 0.000E+00	-1.373E+03	 6.488E+03
   4.150	 0.000E+00	-1.396E+03	 6.581E+03
   4.200	 0.000E+00	-1.416E+03	 6.708E+03
   4.250	 0.000E+00	-1.444E+03	 6.837E+03
   4.300	 0.000E+00	-1.497E+03	 6.978E+03
   4.350	 0.000E+00	-1.599E+03	 7.083E+03
   4.400	 0.000E+00	-1.751E+03	 7.140E+03
   4.450	 0.000E+00	-1.936E+03	 7.154E+03
   4.500	 0.000E+00	-2.134E+03	 7.168E+03
   4.550	 0.000E+00	-2.324E+03	 7.206E+03
   4.600	 0.000E+00	-2.518E+03	 7.336E+03
   4.650	 0.000E+00	-2.701E+03	 7.580E+03
   4.700	 0.000E+00	-2.863E+03	 7.858E+03
   4.750	 0.000E+00	-2.987E+03	 8.145E+03
   4.800	 0.000E+00	-3.079E+03	 8.376E+03
   4.850	 0.000E+00	-3.124E+03	 8.532E+03
   4.900	 0.000E+00	-3.121E+03	 8.598E+03
   4.950	 0.000E+00	-3.080E+03	 8.610E+03
   5.000	 0.000E+00	-2.995E+03	 8.685E+03
   5.050	 0.000E+00	-2.895E+03	 8.847E+03
   5.100	 0.000E+00	-2.777E+03	 9.117E+03
   5.150	 0.000E+00	-2.641E+03	 9.503E+03
   5.200	 0.000E+00	-2.505E+03	 9.856E+03
   5.250	 0.000E+00	-2.374E+03	 1.021E+04
   5.300	 0.000E+00	-2.288E+03	 1.042E+04
   5.350	 0.000E+00	-2.229E+03	 1.054E+04
   5.400	 0.000E+00	-2.197E+03	 1.054E+04
   5.450	 0.000E+00	-2.183E+03	 1.052E+04
   5.500	 0.000E+00	-2.193E+03	 1.046E+04
   5.550	 0.000E+00	-2.209E+03	 1.034E+04
   5.600	 0.000E+00	-2.236E+03	 1.022E+04
   5.650	 0.000E+00	-2.280E+03	 1.005E+04
   5.700	 0.000E+00	-2.297E+03	 9.898E+03
   5.750	 0.000E+00	-2.264E+03	 9.776E+03
   5.800	 0.000E+00	-2.203E+03	 9.578E+03
   5.850	 0.000E+00	-2.056E+03	 9.331E+03
   5.900	 0.000E+00	-1.860E+03	 9.030E+03
   5.950	 0.000E+00	-1.625E+03	 8.688E+03
   6.000	 0.000E+00	-1.349E+03	 8.382E+03
   6.050	 0.000E+00	-1.018E+03	 8.164E+03
   6.100	 0.000E+00	-7.162E+02	 8.102E+03
   6.150	 0.000E+00	-3.964E+02	 8.179E+03
   6.200	 0.000E+00	-7.817E+01	 8.483E+03
   6.250	 0.000E+00	 1.958E+02	 8.912E+03
   6.300	 0.000E+00	 4.189E+02	 9.351E+03
   6.350	 0.000E+00	 5.946E+02	 9.723E+03
   6.400	 0.000E+00	 7.251E+02	 9.995E+03
   6.450	 0.000E+00	 8.378E+02	 1.020E+04
   6.500	 0.000E+00	 9.378E+02	 1.039E+04
   6.550	 0.000E+00	 1.037E+03	 1.063E+04
   6.600	 0.000E+00	 1.137E+03	 1.087E+04
   6.650	 0.000E+00	 1.269E+03	 1.117E+04
   6.700	 0.000E+00	 1.437E+03	 1.150E+04
   6.750	 0.000E+00	 1.652E+03	 1.178E+04
   6.800	 0.000E+00	 1.900E+03	 1.198E+04
   6.850	 0.000E+00	 2.166E+03	 1.201E+04
   6.900	 0.000E+00	 2.465E+03	 1.188E+04
   6.950	 0.000E+00	 2.811E+03	 1.164E+04
   7.000	 0.000E+00	 3.155E+03	 1.140E+04
   7.050	 0.000E+00	 3.491E+03	 1.129E+04
   7.100	 0.000E+00	 3.818E+03	 1.131E+04
   7.150	 0.000E+00	 4.095E+03	 1.146E+04
   7.200	 0.000E+00	 4.329E+03	 1.175E+04
   7.250	 0.000E+00	 4.513E+03	 1.209E+04
   7.300	 0.000E+00	 4.597E+03	 1.229E+04
   7.350	 0.000E+00	 4.618E+03	 1.237E+04
   7.400	 0.000E+00	 4.603E+03	 1.229E+04
   7.450	 0.000E+00	 4.543E+03	 1.209E+04
   7.500	 0.000E+00	 4.450E+03	 1.186E+04
   7.550	 0.000E+00	 4.359E+03	 1.166E+04
   7.600	 0.000E+00	 4.293E+03	 1.149E+04
   7.650	 0.000E+00	 4.237E+03	 1.128E+04
   7.700	 0.000E+00	 4.236E+03	 1.112E+04
   7.750	 0.000E+00	 4.323E+03	 1.108E+04
   7.800	 0.000E+00	 4.435E+03	 1.089E+04
   7.850	 0.000E+00	 4.561E+03	 1.064E+04
   7.900	 0.000E+00	 4.671E+03	 1.032E+04
   7.950	 0.000E+00	 4.783E+03	 1.004E+04
   8.000	 0.000E+00	 4.917E+03	 9.844E+03
   8.050	 0.000E+00	 5.023E+03	 9.770E+03
   8.100	 0.000E+00	 5.077E+03	 9.885E+03
   8.150	 0.000E+00	 5.078E+03	 1.014E+04
   8.200	 0.000E+00	 5.016E+03	 1.052E+04
   8.250	 0.000E+00	 4.883E+03	 1.086E+04
   8.300	 0.000E+00	 4.672E+03	 1.105E+04
   8.350	 0.000E+00	 4.397E+03	 1.117E+04
   8.400	 0.000E+00	 4.060E+03	 1.113E+04
   8.450	 0.000E+00	 3.715E+03	 1.099E+04
   8.500	 0.000E+00	 3.375E+03	 1.080E+04
   8.550	 0.000E+00	 3.039E+03	 1.061E+04
   8.600	 0.000E+00	 2.718E+03	 1.041E+04
   8.650	 0.000E+00	 2.448E+03	 1.024E+04
   8.700	 0.000E+00	 2.203E+03	 1.008E+04
   8.750	 0.000E+00	 2.009E+03	 9.830E+03
   8.800	 0.000E+00	 1.891E+03	 9.529E+03
   8.850	 0.000E+00	 1.828E+03	 9.186E+03
   8.900	 0.000E+00	 1.774E+03	 8.877E+03
   8.950	 0.000E+00	 1.763E+03	 8.698E+03
   9.000	 0.000E+00	 1.744E+03	 8.686E+03
   9.050	 0.000E+00	 1.684E+03	 8.815E+03
   9.100	 0.000E+00	 1.599E+03	 8.949E+03
   9.150	 0.000E+00	 1.470E+03	 8.973E+03
   9.200	 0.000E+00	 1.281E+03	 8.973E+03
   9.250	 0.000E+00	 1.047E+03	 9.043E+03
   9.300	 0.000E+00	 7.777E+02	 9.155E+03
   9.350	 0.000E+00	 4.834E+02	 9.379E+03
   9.400	 0.000E+00	 1.649E+02	 9.646E+03
   9.450	 0.000E+00	-1.491E+02	 9.949E+03
   9.500	 0.000E+00	-4.418E+02	 1.025E+04
   9.550	 0.000E+00	-7.142E+02	 1.046E+04
   9.600	 0.000E+00	-9.641E+02	 1.047E+04
   9.650	 0.000E+00	-1.156E+03	 1.036E+04
   9.700	 0.000E+00	-1.268E+03	 1.017E+04
   9.750	 0.000E+00	-1.344E+03	 9.991E+03
   9.800	 0.000E+00	-1.372E+03	 9.884E+03
   9.850	 0.000E+00	-1.349E+03	 9.907E+03
   9.900	 0.000E+00	-1.359E+03	 1.005E+04
   9.950	 0.000E+00	-1.416E+03	 1.024E+04
  10.000	 0.000E+00	-1.493E+03	 1.041E+04
  10.050	 0.000E+00	-1.597E+03	 1.049E+04
  10.100	 0.000E+00	-1.753E+03	 1.034E+04
  10.150	 0.000E+00	-1.914E+03	 1.007E+04
  10.200	 0.000E+00	-2.068E+03	 9.750E+03
  10.250	 0.000E+00	-2.206E+03	 9.464E+03
  10.300	 0.000E+00	-2.329E+03	 9.312E+03
  10.350	 0.000E+00	-2.411E+03	 9.378E+03
  10.400	 0.000E+00	-2.483E+03	 9.627E+03
  10.450	 6.579E-02	-2.562E+03	 9.909E+03
  10.500	 1.435E-01	-2.612E+03	 1.020E+04
  10.550	 2.241E-01	-2.673E+03	 1.037E+04
  10.600	 3.081E-01	-2.713E+03	 1.035E+04
  10.650	 3.943E-01	-2.702E+03	 1.020E+04
  10.700	 4.795E-01	-2.628E+03	 1.003E+04
  10.750	 5.614E-01	-2.491E+03	 9.800E+03
  10.800	 6.401E-01	-2.298E+03	 9.637E+03
  10.850	 7.174E-01	-2.112E+03	 9.638E+03
  10.900	 7.939E-01	-1.920E+03	 9.792E+03
  10.950	 8.697E-01	-1.711E+03	 1.000E+04
  11.000	 9.451E-01	-1.521E+03	 1.019E+04
  11.050	 1.021E+00	-1.352E+03	 1.029E+04
  11.100	 1.099E+00	-1.178E+03	 1.022E+04
  11.150	 1.179E+00	-1.023E+03	 9.995E+03
  11.200	 1.259E+00	-8.824E+02	 9.743E+03
  11.250	 1.338E+00	-7.356E+02	 9.580E+03
  11.300	 1.416E+00	-5.445E+02	 9.569E+03
  11.350	 1.492E+00	-3.734E+02	 9.798E+03
  11.400	 1.567E+00	-1.646E+02	 1.017E+04
  11.450	 1.641E+00	 9.697E+01	 1.060E+04
  11.500	 1.713E+00	 3.771E+02	 1.109E+04
  11.550	 1.784E+00	 6.952E+02	 1.150E+04
  11.600	 1.856E+00	 1.040E+03	 1.175E+04
  11.650	 1.930E+00	 1.382E+03	 1.183E+04
  11.700	 2.006E+00	 1.725E+03	 1.184E+04
  11.750	 2.081E+00	 2.061E+03	 1.177E+04
  11.800	 2.153E+00	 2.364E+03	 1.172E+04
  11.850	 2.225E+00	 2.624E+03	 1.176E+04
  11.900	 2.297E+00	 2.833E+03	 1.186E+04
  11.950	 2.370E+00	 2.991E+03	 1.190E+04
  12.000	 2.443E+00	 3.112E+03	 1.186E+04
  12.050	 2.516E+00	 3.240E+03	 1.176E+04
  12.100	 2.588E+00	 3.340E+03	 1.162E+04
  12.150	 2.659E+00	 3.395E+03	 1.139E+04
  12.200	 2.729E+00	 3.439E+03	 1.108E+04
  12.250	 2.796E+00	 3.483E+03	 1.066E+04
  12.300	 2.858E+00	 3.530E+03	 1.018E+04
  12.350	 2.915E+00	 3.614E+03	 9.673E+03
  12.400	 2.969E+00	 3.733E+03	 9.214E+03
  12.450	 3.019E+00	 3.889E+03	 8.848E+03
  12.500	 3.067E+00	 4.065E+03	 8.558E+03
  12.550	 3.116E+00	 4.266E+03	 8.465E+03
  12.600	 3.166E+00	 4.438E+03	 8.519E+03
  12.650	 3.219E+00	 4.571E+03	 8.696E+03
  12.700	 3.272E+00	 4.666E+03	 8.942E+03
  12.750	 3.323E+00	 4.707E+03	 9.120E+03
  12.800	 3.368E+00	 4.693E+03	 9.108E+03
  12.850	 3.407E+00	 4.619E+03	 8.860E+03
  12.900	 3.438E+00	 4.524E+03	 8.576E+03
  12.950	 3.461E+00	 4.401E+03	 8.247E+03
  13.000	 3.479E+00	 4.272E+03	 7.980E+03
  13.050	 3.492E+00	 4.112E+03	 7.752E+03
  13.100	 3.506E+00	 3.940E+03	 7.592E+03
  13.150	 3.523E+00	 3.762E+03	 7.469E+03
  13.200	 3.546E+00	 3.601E+03	 7.425E+03
  13.250	 3.574E+00	 3.449E+03	 7.433E+03
  13.300	 3.605E+00	 3.337E+03	 7.525E+03
  13.350	 3.635E+00	 3.255E+03	 7.656E+03
  13.400	 3.662E+00	 3.201E+03	 7.826E+03
  13.450	 3.682E+00	 3.160E+03	 7.970E+03
  13.500	 3.695E+00	 3.116E+03	 8.084E+03
  13.550	 3.702E+00	 3.058E+03	 8.198E+03
  13.600	 3.705E+00	 2.969E+03	 8.260E+03
  13.650	 3.709E+00	 2.844E+03	 8.168E+03
  13.700	 3.716E+00	 2.661E+03	 7.938E+03
  13.750	 3.728E+00	 2.415E+03	 7.596E+03
  13.800	 3.744E+00	 2.122E+03	 7.231E+03
  13.850	 3.764E+00	 1.803E+03	 6.952E+03
  13.900	 3.783E+00	 1.441E+03	 6.756E+03
  13.950	 3.800E+00	 1.097E+03	 6.677E+03
  14.000	 3.812E+00	 7.754E+02	 6.729E+03
  14.050	 3.818E+00	 4.820E+02	 6.888E+03
  14.100	 3.819E+00	 2.531E+02	 7.145E+03
  14.150	 3.814E+00	 6.420E+01	 7.406E+03
  14.200	 3.807E+00	-9.337E+01	 7.627E+03
  14.250	 3.798E+00	-2.225E+02	 7.694E+03
  14.300	 3.791E+00	-3.236E+02	 7.592E+03
  14.350	 3.785E+00	-4.453E+02	 7.366E+03
  14.400	 3.783E+00	-5.793E+02	 7.091E+03
  14.450	 3.782E+00	-7.100E+02	 6.890E+03
  14.500	 3.781E+00	-8.606E+02	 6.836E+03
  14.550	 3.778E+00	-1.030E+03	 6.897E+03
  14.600	 3.771E+00	-1.214E+03	 7.074E+03
  14.650	 3.760E+00	-1.425E+03	 7.301E+03
  14.700	 3.746E+00	-1.660E+03	 7.542E+03
  14.750	 3.728E+00	-1.920E+03	 7.695E+03
  14.800	 3.709E+00	-2.183E+03	 7.696E+03
  14.850	 3.690E+00	-2.423E+03	 7.592E+03
  14.900	 3.673E+00	-2.640E+03	 7.421E+03
  14.950	 3.659E+00	-2.833E+03	 7.241E+03
  15.000	 3.646E+00	-2.960E+03	 7.154E+03
  15.050	 3.633E+00	-3.023E+03	 7.164E+03
  15.100	 3.620E+00	-3.022E+03	 7.234E+03
  15.150	 3.606E+00	-2.974E+03	 7.351E+03
  15.200	 3.591E+00	-2.875E+03	 7.520E+03
  15.250	 3.573E+00	-2.745E+03	 7.647E+03
  15.300	 3.553E+00	-2.597E+03	 7.706E+03
  15.350	 3.532E+00	-2.465E+03	 7.693E+03
  15.400	 3.510E+00	-2.366E+03	 7.634E+03
  15.450	 3.487E+00	-2.280E+03	 7.582E+03
  15.500	 3.463E+00	-2.213E+03	 7.571E+03
  15.550	 3.437E+00	-2.169E+03	 7.666E+03
  15.600	 3.409E+00	-2.151E+03	 7.751E+03
  15.650	 3.380E+00	-2.155E+03	 7.830E+03
  15.700	 3.351E+00	-2.190E+03	 7.944E+03
  15.750	 3.320E+00	-2.210E+03	 8.066E+03
  15.800	 3.287E+00	-2.210E+03	 8.186E+03
  15.850	 3.252E+00	-2.148E+03	 8.239E+03
  15.900	 3.213E+00	-2.043E+03	 8.273E+03
  15.950	 3.171E+00	-1.873E+03	 8.288E+03
  16.000	 3.126E+00	-1.639E+03	 8.389E+03
  16.050	 3.077E+00	-1.382E+03	 8.559E+03
  16.100	 3.027E+00	-1.061E+03	 8.707E+03
  16.150	 2.978E+00	-7.554E+02	 8.792E+03
  16.200	 2.930E+00	-4.500E+02	 8.758E+03
  16.250	 2.883E+00	-1.183E+02	 8.637E+03
  16.300	 2.837E+00	 1.728E+02	 8.512E+03
  16.350	 2.790E+00	 4.361E+02	 8.432E+03
  16.400	 2.742E+00	 6.801E+02	 8.371E+03
  16.450	 2.690E+00	 8.974E+02	 8.442E+03
  16.500	 2.633E+00	 1.067E+03	 8.583E+03
  16.550	 2.570E+00	 1.230E+03	 8.826E+03
  16.600	 2.502E+00	 1.396E+03	 9.127E+03
  16.650	 2.432E+00	 1.535E+03	 9.440E+03
  16.700	 2.362E+00	 1.674E+03	 9.654E+03
  16.750	 2.293E+00	 1.847E+03	 9.770E+03
  16.800	 2.223E+00	 2.030E+03	 9.769E+03
  16.850	 2.153E+00	 2.233E+03	 9.649E+03
  16.900	 2.082E+00	 2.483E+03	 9.551E+03
  16.950	 2.010E+00	 2.727E+03	 9.460E+03
  17.000	 1.934E+00	 2.971E+03	 9.467E+03
  17.050	 1.855E+00	 3.228E+03	 9.568E+03
  17.100	 1.770E+00	 3.490E+03	 9.677E+03
  17.150	 1.681E+00	 3.719E+03	 9.722E+03
  17.200	 1.590E+00	 3.919E+03	 9.660E+03
  17.250	 1.496E+00	 4.099E+03	 9.424E+03
  17.300	 1.399E+00	 4.249E+03	 9.062E+03
  17.350	 1.299E+00	 4.384E+03	 8.707E+03
  17.400	 1.196E+00	 4.509E+03	 8.500E+03
  17.450	 1.091E+00	 4.596E+03	 8.453E+03
  17.500	 9.833E-01	 4.644E+03	 8.597E+03
  17.550	 8.728E-01	 4.686E+03	 8.901E+03
  17.600	 7.627E-01	 4.701E+03	 9.261E+03
  17.650	 6.563E-01	 4.701E+03	 9.544E+03
  17.700	 5.542E-01	 4.713E+03	 9.758E+03
  17.750	 4.546E-01	 4.737E+03	 9.809E+03
  17.800	 3.541E-01	 4.740E+03	 9.650E+03
  17.850	 2.490E-01	 4.777E+03	 9.569E+03
  17.900	 1.365E-01	 4.798E+03	 9.589E+03
  17.950	 1.518E-02	 4.835E+03	 9.708E+03
  18.000	 0.000E+00	 4.859E+03	 9.871E+03
  18.050	 0.000E+00	 4.852E+03	 1.002E+04
  18.100	 0.000E+00	 4.825E+03	 1.013E+04
  18.150	 0.000E+00	 4.782E+03	 1.024E+04
  18.200	 0.000E+00	 4.673E+03	 1.032E+04
  18.250	 0.000E+00	 4.490E+03	 1.028E+04
