
These predictions were generated by FAST (v7.01.00a-bjj, 16-Feb-2012) on 07-Mar-2016 at 22:07:18.
The aerodynamic calculations were made by AeroDyn (v13.00.01a-bjj, 16-Feb-2012).

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

Time	BldPitch1	RootMxb1	RootMyb1
(s)	(deg)	(kN·m)	(kN·m)
   0.050	 0.000E+00	 5.102E+01	 2.411E+02
   0.100	 0.000E+00	 1.055E+02	 3.836E+02
   0.150	 0.000E+00	 1.796E+02	 6.911E+02
   0.200	 0.000E+00	 2.712E+02	 1.052E+03
   0.250	 0.000E+00	 3.959E+02	 1.449E+03
   0.300	 0.000E+00	 5.526E+02	 1.847E+03
   0.350	 0.000E+00	 7.491E+02	 2.228E+03
   0.400	 0.000E+00	 9.642E+02	 2.551E+03
   0.450	 0.000E+00	 1.188E+03	 2.793E+03
   0.500	 0.000E+00	 1.417E+03	 2.957E+03
   0.550	 0.000E+00	 1.643E+03	 3.028E+03
   0.600	 0.000E+00	 1.841E+03	 3.021E+03
   0.650	 0.000E+00	 2.005E+03	 2.952E+03
   0.700	 0.000E+00	 2.127E+03	 2.835E+03
   0.750	 0.000E+00	 2.210E+03	 2.685E+03
   0.800	 0.000E+00	 2.257E+03	 2.512E+03
   0.850	 0.000E+00	 2.274E+03	 2.278E+03
   0.900	 0.000E+00	 2.262E+03	 2.016E+03
   0.950	 0.000E+00	 2.235E+03	 1.722E+03
   1.000	 0.000E+00	 2.214E+03	 1.450E+03
   1.050	 0.000E+00	 2.209E+03	 1.224E+03
   1.100	 0.000E+00	 2.230E+03	 1.063E+03
   1.150	 0.000E+00	 2.280E+03	 9.362E+02
   1.200	 0.000E+00	 2.366E+03	 8.802E+02
   1.250	 0.000E+00	 2.480E+03	 8.468E+02
   1.300	 0.000E+00	 2.633E+03	 8.719E+02
   1.350	 0.000E+00	 2.815E+03	 9.352E+02
   1.400	 0.000E+00	 3.009E+03	 1.022E+03
   1.450	 0.000E+00	 3.213E+03	 1.161E+03
   1.500	 0.000E+00	 3.400E+03	 1.323E+03
   1.550	 0.000E+00	 3.565E+03	 1.522E+03
   1.600	 0.000E+00	 3.690E+03	 1.731E+03
   1.650	 0.000E+00	 3.773E+03	 1.976E+03
   1.700	 0.000E+00	 3.798E+03	 2.194E+03
   1.750	 0.000E+00	 3.779E+03	 2.420E+03
   1.800	 0.000E+00	 3.717E+03	 2.614E+03
   1.850	 0.000E+00	 3.617E+03	 2.724E+03
   1.900	 0.000E+00	 3.510E+03	 2.807E+03
   1.950	 0.000E+00	 3.396E+03	 2.840E+03
   2.000	 0.000E+00	 3.307E+03	 2.844E+03
   2.050	 0.000E+00	 3.249E+03	 2.793E+03
   2.100	 0.000E+00	 3.236E+03	 2.740E+03
   2.150	 0.000E+00	 3.271E+03	 2.674E+03
   2.200	 0.000E+00	 3.345E+03	 2.575E+03
   2.250	 0.000E+00	 3.450E+03	 2.461E+03
   2.300	 0.000E+00	 3.565E+03	 2.319E+03
   2.350	 0.000E+00	 3.687E+03	 2.158E+03
   2.400	 0.000E+00	 3.792E+03	 2.019E+03
   2.450	 0.000E+00	 3.868E+03	 1.893E+03
   2.500	 0.000E+00	 3.904E+03	 1.820E+03
   2.550	 0.000E+00	 3.897E+03	 1.805E+03
   2.600	 0.000E+00	 3.834E+03	 1.844E+03
   2.650	 0.000E+00	 3.727E+03	 1.906E+03
   2.700	 0.000E+00	 3.582E+03	 1.973E+03
   2.750	 0.000E+00	 3.406E+03	 2.051E+03
   2.800	 0.000E+00	 3.220E+03	 2.077E+03
   2.850	 0.000E+00	 3.038E+03	 2.106E+03
   2.900	 0.000E+00	 2.855E+03	 2.113E+03
   2.950	 0.000E+00	 2.705E+03	 2.156E+03
   3.000	 0.000E+00	 2.582E+03	 2.220E+03
   3.050	 0.000E+00	 2.499E+03	 2.316E+03
   3.100	 0.000E+00	 2.453E+03	 2.427E+03
   3.150	 0.000E+00	 2.447E+03	 2.492E+03
   3.200	 0.000E+00	 2.466E+03	 2.537E+03
   3.250	 0.000E+00	 2.486E+03	 2.517E+03
   3.300	 0.000E+00	 2.517E+03	 2.468E+03
   3.350	 0.000E+00	 2.531E+03	 2.390E+03
   3.400	 0.000E+00	 2.517E+03	 2.319E+03
   3.450	 0.000E+00	 2.463E+03	 2.245E+03
   3.500	 0.000E+00	 2.382E+03	 2.231E+03
   3.550	 0.000E+00	 2.239E+03	 2.212E+03
   3.600	 0.000E+00	 2.064E+03	 2.239E+03
   3.650	 0.000E+00	 1.857E+03	 2.264E+03
   3.700	 0.000E+00	 1.623E+03	 2.283E+03
   3.750	 0.000E+00	 1.384E+03	 2.261E+03
   3.800	 0.000E+00	 1.155E+03	 2.250E+03
   3.850	 0.000E+00	 9.437E+02	 2.222E+03
   3.900	 0.000E+00	 7.621E+02	 2.209E+03
   3.950	 0.000E+00	 6.232E+02	 2.214E+03
   4.000	 0.000E+00	 5.165E+02	 2.243E+03
   4.050	 0.000E+00	 4.427E+02	 2.284E+03
   4.100	 0.000E+00	 3.955E+02	 2.290E+03
   4.150	 0.000E+00	 3.622E+02	 2.271E+03
   4.200	 0.000E+00	 3.317E+02	 2.248E+03
   4.250	 0.000E+00	 2.938E+02	 2.209E+03
   4.300	 0.000E+00	 2.387E+02	 2.174E+03
   4.350	 0.000E+00	 1.605E+02	 2.169E+03
   4.400	 0.000E+00	 4.962E+01	 2.155E+03
   4.450	 0.000E+00	-9.494E+01	 2.145E+03
   4.500	 0.000E+00	-2.633E+02	 2.127E+03
   4.550	 0.000E+00	-4.719E+02	 2.088E+03
   4.600	 0.000E+00	-6.984E+02	 2.035E+03
   4.650	 0.000E+00	-9.252E+02	 1.983E+03
   4.700	 0.000E+00	-1.158E+03	 1.926E+03
   4.750	 0.000E+00	-1.377E+03	 1.876E+03
   4.800	 0.000E+00	-1.571E+03	 1.836E+03
   4.850	 0.000E+00	-1.731E+03	 1.837E+03
   4.900	 0.000E+00	-1.855E+03	 1.817E+03
   4.950	 0.000E+00	-1.933E+03	 1.832E+03
   5.000	 0.000E+00	-1.976E+03	 1.830E+03
   5.050	 0.000E+00	-1.989E+03	 1.830E+03
   5.100	 0.000E+00	-1.984E+03	 1.829E+03
   5.150	 0.000E+00	-1.975E+03	 1.803E+03
   5.200	 0.000E+00	-1.974E+03	 1.780E+03
   5.250	 0.000E+00	-2.000E+03	 1.754E+03
   5.300	 0.000E+00	-2.056E+03	 1.743E+03
   5.350	 0.000E+00	-2.146E+03	 1.746E+03
   5.400	 0.000E+00	-2.278E+03	 1.751E+03
   5.450	 0.000E+00	-2.439E+03	 1.768E+03
   5.500	 0.000E+00	-2.625E+03	 1.789E+03
   5.550	 0.000E+00	-2.827E+03	 1.795E+03
   5.600	 0.000E+00	-3.029E+03	 1.790E+03
   5.650	 0.000E+00	-3.214E+03	 1.787E+03
   5.700	 0.000E+00	-3.369E+03	 1.764E+03
   5.750	 0.000E+00	-3.489E+03	 1.721E+03
   5.800	 0.000E+00	-3.563E+03	 1.674E+03
   5.850	 0.000E+00	-3.597E+03	 1.611E+03
   5.900	 0.000E+00	-3.588E+03	 1.553E+03
   5.950	 0.000E+00	-3.541E+03	 1.503E+03
   6.000	 0.000E+00	-3.469E+03	 1.468E+03
   6.050	 0.000E+00	-3.382E+03	 1.451E+03
   6.100	 0.000E+00	-3.300E+03	 1.439E+03
   6.150	 0.000E+00	-3.229E+03	 1.444E+03
   6.200	 0.000E+00	-3.182E+03	 1.442E+03
   6.250	 0.000E+00	-3.171E+03	 1.436E+03
   6.300	 0.000E+00	-3.199E+03	 1.414E+03
